MA,STD,WinRate,AVG_PNL,factor
"[2, 1, 35.0, 1.0527915071303258]","[2, 2, 35.0, 1.0529166255464009]","[2, 3, 35.0, 1.0528222756860695]","[2, 4, 36.0, 1.048645658805438]","[2, 5, 36.0, 1.048178644282464]"
"[2, 6, 36.0, 1.0482450512208161]","[2, 7, 36.0, 1.0422019875883735]","[2, 8, 37.0, 1.0420384385262136]","[2, 9, 37.0, 1.0398243943929597]","[2, 10, 37.0, 1.0363248558779925]"
"[2, 11, 37.0, 1.0350080018950356]","[2, 12, 37.0, 1.034725133517766]","[2, 13, 38.0, 1.0322514507160547]","[2, 14, 38.0, 1.0318947403730792]","[2, 15, 38.0, 1.0295861450132782]"
"[2, 16, 39.0, 1.028307349039363]","[2, 17, 39.0, 1.0263363601226192]","[2, 18, 40.0, 1.0206376122605239]","[2, 19, 40.0, 1.0197773553018254]","[2, 20, 40.0, 1.0121872058874428]"
"[2, 21, 41.0, 1.0063758260359015]","[2, 22, 41.0, 1.002299630629354]","[2, 23, 41.0, 0.9961757214258876]","[2, 24, 42.0, 0.9951237418236829]","[2, 25, 42.0, 0.9928424684128264]"
"[2, 26, 42.0, 0.995626052305112]","[2, 27, 43.0, 0.9848152032294615]","[2, 28, 43.0, 0.9884576907502136]","[2, 29, 43.0, 0.9847419575225469]","[4, 1, 38.0, 1.0325971107357241]"
"[4, 2, 38.0, 1.028920417789604]","[4, 3, 39.0, 1.0273101548739376]","[4, 4, 39.0, 1.0156152004564607]","[4, 5, 40.0, 1.0146821651258964]","[4, 6, 40.0, 1.0061526075620941]"
"[4, 7, 41.0, 0.9939927754007785]","[4, 8, 41.0, 0.9872941229851876]","[4, 9, 42.0, 0.9770196939057801]","[4, 10, 42.0, 0.9672434753166133]","[4, 11, 43.0, 0.9590218903886975]"
"[4, 12, 43.0, 0.9523454671391272]","[4, 13, 44.0, 0.944802429576611]","[4, 14, 44.0, 0.9330363966029085]","[4, 15, 45.0, 0.9269558901841901]","[4, 16, 46.0, 0.9062818204692171]"
"[4, 17, 46.0, 0.897539384783607]","[4, 18, 47.0, 0.8845473768991201]","[4, 19, 48.0, 0.8730677872785052]","[4, 20, 48.0, 0.8678924815145984]","[4, 21, 49.0, 0.8642162872909441]"
"[4, 22, 49.0, 0.8534876388562685]","[4, 23, 50.0, 0.8496363480623278]","[4, 24, 51.0, 0.8356833712343248]","[4, 25, 51.0, 0.8359546630296439]","[4, 26, 52.0, 0.8276784520876206]"
"[4, 27, 52.0, 0.82643723066828]","[4, 28, 52.0, 0.8228683212319899]","[4, 29, 52.0, 0.8204270114618287]","[6, 1, 39.0, 1.0196492322727013]","[6, 2, 40.0, 1.0107559420483472]"
"[6, 3, 40.0, 1.004529045264607]","[6, 4, 41.0, 0.9951123879184148]","[6, 5, 41.0, 0.982793044582141]","[6, 6, 42.0, 0.970505016630488]","[6, 7, 43.0, 0.9580062542159756]"
"[6, 8, 43.0, 0.9442244462534891]","[6, 9, 44.0, 0.9308409366604077]","[6, 10, 44.0, 0.9215483465453917]","[6, 11, 45.0, 0.9058498354789378]","[6, 12, 46.0, 0.8872316670985275]"
"[6, 13, 46.0, 0.8747621889905753]","[6, 14, 47.0, 0.8625497911489309]","[6, 15, 48.0, 0.8451450864594802]","[6, 16, 49.0, 0.8325485990275849]","[6, 17, 50.0, 0.8247223185331146]"
"[6, 18, 50.0, 0.8155868874810923]","[6, 19, 51.0, 0.8132074385937621]","[6, 20, 52.0, 0.807399998511865]","[6, 21, 52.0, 0.79626609416601]","[6, 22, 53.0, 0.7897000664157302]"
"[6, 23, 53.0, 0.7933753104695339]","[6, 24, 54.0, 0.7994592102979862]","[6, 25, 54.0, 0.7918405381940213]","[6, 26, 55.0, 0.7834249619656185]","[6, 27, 55.0, 0.7834314383905684]"
"[6, 28, 56.0, 0.772894500085289]","[6, 29, 56.0, 0.7721978837803564]","[8, 1, 40.0, 1.0172845914047761]","[8, 2, 41.0, 1.0038575112719457]","[8, 3, 42.0, 0.9898639830666217]"
"[8, 4, 42.0, 0.9782747393471499]","[8, 5, 43.0, 0.9664177922480527]","[8, 6, 44.0, 0.9484455246745512]","[8, 7, 44.0, 0.9278949368595524]","[8, 8, 45.0, 0.9032387707496952]"
"[8, 9, 46.0, 0.8869722398185136]","[8, 10, 47.0, 0.8686688338935202]","[8, 11, 47.0, 0.853948473052569]","[8, 12, 48.0, 0.8377258069943979]","[8, 13, 49.0, 0.8182909751707209]"
"[8, 14, 50.0, 0.8075164544038093]","[8, 15, 51.0, 0.7943680606171015]","[8, 16, 51.0, 0.7785121973866053]","[8, 17, 52.0, 0.7674868152456907]","[8, 18, 52.0, 0.7637286473167193]"
"[8, 19, 53.0, 0.7589296593567445]","[8, 20, 54.0, 0.7522651313926663]","[8, 21, 55.0, 0.7397433097907127]","[8, 22, 55.0, 0.7430623600962757]","[8, 23, 55.0, 0.73907388279062]"
"[8, 24, 56.0, 0.7432755024788598]","[8, 25, 56.0, 0.7383559481249446]","[8, 26, 57.0, 0.7434705482407631]","[8, 27, 57.0, 0.7541294934530093]","[8, 28, 57.0, 0.7571960815237272]"
"[8, 29, 57.0, 0.763259764949602]","[10, 1, 42.0, 1.008603779759366]","[10, 2, 43.0, 0.9914812788633021]","[10, 3, 43.0, 0.9740028336251219]","[10, 4, 44.0, 0.9528569961429967]"
"[10, 5, 45.0, 0.9353891048980177]","[10, 6, 46.0, 0.9059896117708393]","[10, 7, 46.0, 0.890881933166359]","[10, 8, 47.0, 0.8682501135252908]","[10, 9, 48.0, 0.8490886711478642]"
"[10, 10, 49.0, 0.8227150163912578]","[10, 11, 50.0, 0.7992477115713964]","[10, 12, 50.0, 0.7889009744217549]","[10, 13, 51.0, 0.770812389571665]","[10, 14, 52.0, 0.7546092191355683]"
"[10, 15, 52.0, 0.7366639042292802]","[10, 16, 53.0, 0.7250738591079892]","[10, 17, 54.0, 0.7253147918077618]","[10, 18, 54.0, 0.7156869846743248]","[10, 19, 55.0, 0.7249821514491708]"
"[10, 20, 55.0, 0.7152982005860383]","[10, 21, 56.0, 0.7199257238935861]","[10, 22, 57.0, 0.7190531701014776]","[10, 23, 57.0, 0.7151467454211154]","[10, 24, 57.0, 0.7277514219218397]"
"[10, 25, 57.0, 0.7353142395069314]","[10, 26, 57.0, 0.7347759084581901]","[10, 27, 58.0, 0.734710210009029]","[10, 28, 58.0, 0.7315799957045737]","[10, 29, 58.0, 0.7447293882506747]"
"[12, 1, 43.0, 1.0026305230122212]","[12, 2, 44.0, 0.9777701326750604]","[12, 3, 44.0, 0.9563468300526529]","[12, 4, 45.0, 0.9424049693561373]","[12, 5, 46.0, 0.911979034494573]"
"[12, 6, 47.0, 0.8969393870574861]","[12, 7, 48.0, 0.8726658020879668]","[12, 8, 48.0, 0.848885362455032]","[12, 9, 49.0, 0.8240984288405643]","[12, 10, 50.0, 0.7991325254826614]"
"[12, 11, 51.0, 0.7835669576048861]","[12, 12, 52.0, 0.7604809748590515]","[12, 13, 52.0, 0.7453186178368679]","[12, 14, 53.0, 0.7252962122452985]","[12, 15, 54.0, 0.7046143484446878]"
"[12, 16, 54.0, 0.6965709660795241]","[12, 17, 55.0, 0.6884898656759891]","[12, 18, 56.0, 0.6888311298216522]","[12, 19, 56.0, 0.69546441985151]","[12, 20, 56.0, 0.6995902945777289]"
"[12, 21, 57.0, 0.7014999001580545]","[12, 22, 57.0, 0.7009619799974829]","[12, 23, 58.0, 0.6965185254775835]","[12, 24, 58.0, 0.7009369452854377]","[12, 25, 58.0, 0.714716270324159]"
"[12, 26, 59.0, 0.71077969892807]","[12, 27, 59.0, 0.7205293189928857]","[12, 28, 58.0, 0.7408399508631953]","[12, 29, 59.0, 0.7248309251155893]","[14, 1, 43.0, 0.9919781898028407]"
"[14, 2, 44.0, 0.9696267381339089]","[14, 3, 45.0, 0.9506093550525112]","[14, 4, 46.0, 0.927050697196018]","[14, 5, 47.0, 0.9083378769377003]","[14, 6, 48.0, 0.8793269168548349]"
"[14, 7, 49.0, 0.8538287962790646]","[14, 8, 49.0, 0.8281278296614752]","[14, 9, 50.0, 0.8004071462424432]","[14, 10, 51.0, 0.7755942262865249]","[14, 11, 52.0, 0.7532151855055644]"
"[14, 12, 53.0, 0.7256892616182142]","[14, 13, 53.0, 0.7100299416531219]","[14, 14, 54.0, 0.687440725498079]","[14, 15, 55.0, 0.6816905120102481]","[14, 16, 55.0, 0.674408415215794]"
"[14, 17, 55.0, 0.6697407938787461]","[14, 18, 56.0, 0.6762795176314932]","[14, 19, 57.0, 0.6781467772507838]","[14, 20, 57.0, 0.6840513429868683]","[14, 21, 57.0, 0.6860721625424884]"
"[14, 22, 58.0, 0.6796744379929729]","[14, 23, 58.0, 0.6838201765710149]","[14, 24, 58.0, 0.6945027968246321]","[14, 25, 58.0, 0.6947265444393615]","[14, 26, 59.0, 0.7075746464353705]"
"[14, 27, 59.0, 0.7087966330947434]","[14, 28, 59.0, 0.7193885875761986]","[14, 29, 59.0, 0.7235873155056582]","[16, 1, 44.0, 0.9758731062676264]","[16, 2, 45.0, 0.956387733729858]"
"[16, 3, 46.0, 0.9268743533438106]","[16, 4, 47.0, 0.90953615289685]","[16, 5, 48.0, 0.8807978677830022]","[16, 6, 49.0, 0.8611553035283631]","[16, 7, 50.0, 0.8283372816648539]"
"[16, 8, 50.0, 0.7936962700711693]","[16, 9, 51.0, 0.7660351633659803]","[16, 10, 52.0, 0.7451521655720522]","[16, 11, 53.0, 0.719221690761963]","[16, 12, 53.0, 0.7053056439100108]"
"[16, 13, 54.0, 0.6922194902131973]","[16, 14, 55.0, 0.6684374551228786]","[16, 15, 55.0, 0.6587628482693255]","[16, 16, 55.0, 0.6531297995341327]","[16, 17, 56.0, 0.6458938762254633]"
"[16, 18, 57.0, 0.6477900922113046]","[16, 19, 57.0, 0.650331232358068]","[16, 20, 58.0, 0.6556956135485794]","[16, 21, 58.0, 0.6600425414608596]","[16, 22, 59.0, 0.6681155420421819]"
"[16, 23, 59.0, 0.6756591829745319]","[16, 24, 59.0, 0.6694201112037378]","[16, 25, 59.0, 0.6801046844130032]","[16, 26, 59.0, 0.690737853848043]","[16, 27, 60.0, 0.6961323568878919]"
"[16, 28, 60.0, 0.6907112858709417]","[16, 29, 60.0, 0.6875017152968474]","[18, 1, 44.0, 0.9694182850601116]","[18, 2, 46.0, 0.9467952616298093]","[18, 3, 47.0, 0.9251771768673801]"
"[18, 4, 48.0, 0.8951012720255218]","[18, 5, 49.0, 0.870859572326102]","[18, 6, 49.0, 0.8453634329960937]","[18, 7, 50.0, 0.8128428142831026]","[18, 8, 51.0, 0.7863206877274269]"
"[18, 9, 52.0, 0.7551588011529521]","[18, 10, 53.0, 0.7365245543960189]","[18, 11, 53.0, 0.7126328819580897]","[18, 12, 54.0, 0.6846313884096542]","[18, 13, 55.0, 0.6720091611098915]"
"[18, 14, 55.0, 0.6577032253644263]","[18, 15, 56.0, 0.6481820678119974]","[18, 16, 56.0, 0.6359752147397795]","[18, 17, 57.0, 0.6290548667914048]","[18, 18, 58.0, 0.6284497128821348]"
"[18, 19, 58.0, 0.6209415608281107]","[18, 20, 59.0, 0.6348461982150752]","[18, 21, 59.0, 0.649125756009281]","[18, 22, 59.0, 0.6624385348387143]","[18, 23, 59.0, 0.674847200269704]"
"[18, 24, 60.0, 0.6840491024934414]","[18, 25, 60.0, 0.6847163110595151]","[18, 26, 60.0, 0.6925664155495844]","[18, 27, 60.0, 0.6830077137787105]","[18, 28, 60.0, 0.6802740316803496]"
"[18, 29, 60.0, 0.6906220853386563]","[20, 1, 45.0, 0.9695104002113901]","[20, 2, 46.0, 0.9287878001856608]","[20, 3, 47.0, 0.9105509079370293]","[20, 4, 48.0, 0.8827971184333221]"
"[20, 5, 49.0, 0.8580857297474452]","[20, 6, 50.0, 0.829833494254107]","[20, 7, 51.0, 0.8026671080449044]","[20, 8, 51.0, 0.7682874493525713]","[20, 9, 52.0, 0.7485876614048088]"
"[20, 10, 53.0, 0.7258157191686267]","[20, 11, 54.0, 0.6967871878881445]","[20, 12, 55.0, 0.6734552614311009]","[20, 13, 55.0, 0.6622526182594074]","[20, 14, 56.0, 0.6415015863141409]"
"[20, 15, 57.0, 0.6372817861502283]","[20, 16, 57.0, 0.6292011212178119]","[20, 17, 58.0, 0.6302689610621772]","[20, 18, 58.0, 0.6351237779962685]","[20, 19, 59.0, 0.6337671419084785]"
"[20, 20, 59.0, 0.6341040799707265]","[20, 21, 59.0, 0.6449510235100697]","[20, 22, 59.0, 0.668456851153821]","[20, 23, 59.0, 0.673733469097157]","[20, 24, 59.0, 0.6825944122471751]"
"[20, 25, 60.0, 0.6827997494705236]","[20, 26, 60.0, 0.6849659074501292]","[20, 27, 60.0, 0.6786133544383532]","[20, 28, 60.0, 0.6752620175222223]","[20, 29, 60.0, 0.68050146062953]"
"[22, 1, 45.0, 0.95690000545184]","[22, 2, 46.0, 0.9276796952244872]","[22, 3, 47.0, 0.8957827480410446]","[22, 4, 48.0, 0.8776185421064662]","[22, 5, 49.0, 0.8485523157635819]"
"[22, 6, 50.0, 0.812426396936275]","[22, 7, 51.0, 0.7885034224052726]","[22, 8, 52.0, 0.7681527071268422]","[22, 9, 53.0, 0.7419650510531612]","[22, 10, 53.0, 0.7112718190962901]"
"[22, 11, 54.0, 0.6904565664517489]","[22, 12, 55.0, 0.6608438293873784]","[22, 13, 56.0, 0.6530111172812627]","[22, 14, 57.0, 0.6294467495205167]","[22, 15, 57.0, 0.6202046291283224]"
"[22, 16, 58.0, 0.6235481454659078]","[22, 17, 58.0, 0.6222593649752752]","[22, 18, 59.0, 0.6191035795303294]","[22, 19, 59.0, 0.6224770983020668]","[22, 20, 59.0, 0.6352736808249277]"
"[22, 21, 60.0, 0.6298734891928665]","[22, 22, 59.0, 0.6458814509273376]","[22, 23, 60.0, 0.6617248878954161]","[22, 24, 60.0, 0.6821811479427886]","[22, 25, 60.0, 0.6863374444890568]"
"[22, 26, 60.0, 0.693194296809668]","[22, 27, 60.0, 0.684438285267535]","[22, 28, 60.0, 0.6793970295161731]","[22, 29, 60.0, 0.6785132889525977]","[24, 1, 45.0, 0.9416643930891541]"
"[24, 2, 46.0, 0.9179585075604441]","[24, 3, 48.0, 0.8883210398425484]","[24, 4, 49.0, 0.8635715926804182]","[24, 5, 50.0, 0.8359518796667842]","[24, 6, 50.0, 0.8042812665577943]"
"[24, 7, 51.0, 0.7801260537010404]","[24, 8, 52.0, 0.762005457753783]","[24, 9, 53.0, 0.7264526217768772]","[24, 10, 54.0, 0.7067289814332408]","[24, 11, 54.0, 0.6741586235277114]"
"[24, 12, 55.0, 0.6573368124487428]","[24, 13, 56.0, 0.6442676874860916]","[24, 14, 57.0, 0.6237178433233611]","[24, 15, 58.0, 0.6207953801303995]","[24, 16, 58.0, 0.6101018751153338]"
"[24, 17, 59.0, 0.6072984534123599]","[24, 18, 60.0, 0.6090398904067781]","[24, 19, 60.0, 0.6073729055522429]","[24, 20, 60.0, 0.6138199196471444]","[24, 21, 60.0, 0.6248110457769699]"
"[24, 22, 60.0, 0.6306269364830991]","[24, 23, 60.0, 0.6430939178173485]","[24, 24, 60.0, 0.6711151165098241]","[24, 25, 60.0, 0.6786040164401191]","[24, 26, 60.0, 0.6743613594466588]"
"[24, 27, 60.0, 0.6656929994382199]","[24, 28, 60.0, 0.6789733855542149]","[24, 29, 60.0, 0.6810387176108746]","[26, 1, 46.0, 0.932261368842666]","[26, 2, 47.0, 0.89859268172417]"
"[26, 3, 48.0, 0.8640299543754022]","[26, 4, 49.0, 0.8339803241166478]","[26, 5, 50.0, 0.8093283552021685]","[26, 6, 51.0, 0.7874102382202203]","[26, 7, 52.0, 0.7663730936737851]"
"[26, 8, 53.0, 0.740045383915088]","[26, 9, 53.0, 0.7073703565312379]","[26, 10, 54.0, 0.686606341833657]","[26, 11, 55.0, 0.6681538866539711]","[26, 12, 55.0, 0.6542298050047332]"
"[26, 13, 57.0, 0.6348927700389405]","[26, 14, 58.0, 0.6204263826019824]","[26, 15, 58.0, 0.6044045884055632]","[26, 16, 59.0, 0.5965454425509532]","[26, 17, 59.0, 0.5921362151711713]"
"[26, 18, 60.0, 0.5907205917713808]","[26, 19, 60.0, 0.5938371355321932]","[26, 20, 60.0, 0.6046157485310206]","[26, 21, 60.0, 0.6147001701799296]","[26, 22, 60.0, 0.621168517925899]"
"[26, 23, 60.0, 0.6286280605213913]","[26, 24, 60.0, 0.6492905175456553]","[26, 25, 60.0, 0.6548955263089614]","[26, 26, 60.0, 0.6657689492309433]","[26, 27, 60.0, 0.6732927002297736]"
"[26, 28, 60.0, 0.6692406436779622]","[26, 29, 60.0, 0.6567748512522357]","[28, 1, 46.0, 0.9268337370450009]","[28, 2, 47.0, 0.8822086109446821]","[28, 3, 49.0, 0.8519818374463203]"
"[28, 4, 50.0, 0.8263798118646875]","[28, 5, 51.0, 0.8098916759942936]","[28, 6, 51.0, 0.7801512941084532]","[28, 7, 52.0, 0.7511334845398502]","[28, 8, 53.0, 0.7335925309048966]"
"[28, 9, 53.0, 0.7007787110472348]","[28, 10, 54.0, 0.6887428518460422]","[28, 11, 55.0, 0.658781833319787]","[28, 12, 56.0, 0.6439887376227982]","[28, 13, 57.0, 0.6171762485359086]"
"[28, 14, 58.0, 0.6058126365021743]","[28, 15, 58.0, 0.5949151649963861]","[28, 16, 59.0, 0.5883498973683547]","[28, 17, 60.0, 0.5777621683613449]","[28, 18, 60.0, 0.5946644912678264]"
"[28, 19, 60.0, 0.5932582725502449]","[28, 20, 60.0, 0.6045953558129348]","[28, 21, 60.0, 0.6168551829796158]","[28, 22, 60.0, 0.6297037972034835]","[28, 23, 60.0, 0.638342612952844]"
"[28, 24, 60.0, 0.6459050431788518]","[28, 25, 60.0, 0.6424884349277672]","[28, 26, 61.0, 0.6452465181140565]","[28, 27, 61.0, 0.6485642278496667]","[28, 28, 61.0, 0.66605118424518]"
"[28, 29, 60.0, 0.684285525994347]","[30, 1, 46.0, 0.9133013836052283]","[30, 2, 48.0, 0.8729888535753876]","[30, 3, 49.0, 0.8444600056004837]","[30, 4, 50.0, 0.8229178047202592]"
"[30, 5, 51.0, 0.7945152751274528]","[30, 6, 51.0, 0.776566992801842]","[30, 7, 52.0, 0.7507982525562121]","[30, 8, 53.0, 0.72372516027435]","[30, 9, 53.0, 0.7043745503520936]"
"[30, 10, 54.0, 0.6812729057167543]","[30, 11, 55.0, 0.6504315927213817]","[30, 12, 56.0, 0.639390282174899]","[30, 13, 57.0, 0.6160952302012753]","[30, 14, 58.0, 0.6032155114876199]"
"[30, 15, 59.0, 0.5962564825826754]","[30, 16, 59.0, 0.588204825770591]","[30, 17, 60.0, 0.5821217093151698]","[30, 18, 60.0, 0.5834785619036691]","[30, 19, 60.0, 0.5873509529492268]"
"[30, 20, 60.0, 0.6044832107381898]","[30, 21, 60.0, 0.6239342367567691]","[30, 22, 60.0, 0.6304129938350909]","[30, 23, 60.0, 0.6253982193038591]","[30, 24, 60.0, 0.634663182060293]"
"[30, 25, 60.0, 0.6388001397664897]","[30, 26, 61.0, 0.6492553960943198]","[30, 27, 61.0, 0.6612196073385584]","[30, 28, 61.0, 0.6757876683727179]","[30, 29, 60.0, 0.684535835546646]"
"[32, 1, 46.0, 0.9012000459995672]","[32, 2, 48.0, 0.8651386639572635]","[32, 3, 49.0, 0.8353466767600911]","[32, 4, 50.0, 0.8132892427163289]","[32, 5, 51.0, 0.7892288360453106]"
"[32, 6, 51.0, 0.7651988798488137]","[32, 7, 52.0, 0.7404246088958164]","[32, 8, 53.0, 0.7132258179307868]","[32, 9, 54.0, 0.697536360703416]","[32, 10, 55.0, 0.6737458551013533]"
"[32, 11, 56.0, 0.6542211686800974]","[32, 12, 57.0, 0.634279719275419]","[32, 13, 58.0, 0.6152065691724556]","[32, 14, 58.0, 0.595300380579658]","[32, 15, 59.0, 0.583601159558496]"
"[32, 16, 60.0, 0.5735866803109723]","[32, 17, 60.0, 0.5772026023449174]","[32, 18, 60.0, 0.5802411807687418]","[32, 19, 60.0, 0.5923914527561852]","[32, 20, 60.0, 0.5934585103403045]"
"[32, 21, 61.0, 0.6051480316389544]","[32, 22, 61.0, 0.6148525884884692]","[32, 23, 60.0, 0.6241844463576087]","[32, 24, 61.0, 0.6356051919792565]","[32, 25, 61.0, 0.6405292654678895]"
"[32, 26, 61.0, 0.6309203703517633]","[32, 27, 61.0, 0.6566049548032833]","[32, 28, 61.0, 0.6527191739451331]","[32, 29, 61.0, 0.675084258519733]","[34, 1, 46.0, 0.8943999102662985]"
"[34, 2, 48.0, 0.8566291646703447]","[34, 3, 49.0, 0.8222219111652062]","[34, 4, 51.0, 0.8013202665029994]","[34, 5, 51.0, 0.7798382384539623]","[34, 6, 51.0, 0.7590044580276949]"
"[34, 7, 52.0, 0.7308581569075645]","[34, 8, 53.0, 0.7123369157342067]","[34, 9, 54.0, 0.7027389827174243]","[34, 10, 55.0, 0.6758072710327244]","[34, 11, 56.0, 0.6538646485090003]"
"[34, 12, 57.0, 0.627607732484792]","[34, 13, 58.0, 0.6086150905672792]","[34, 14, 59.0, 0.5897925293487589]","[34, 15, 59.0, 0.5689537053638434]","[34, 16, 60.0, 0.5687374813125381]"
"[34, 17, 60.0, 0.5740811204892815]","[34, 18, 60.0, 0.578293185433039]","[34, 19, 60.0, 0.5837802197595817]","[34, 20, 60.0, 0.6015328270952984]","[34, 21, 61.0, 0.6022623535306533]"
"[34, 22, 60.0, 0.6204987427858316]","[34, 23, 61.0, 0.6132909655955501]","[34, 24, 61.0, 0.6309537156270753]","[34, 25, 61.0, 0.6392896207005667]","[34, 26, 61.0, 0.635557052002472]"
"[34, 27, 61.0, 0.644391749663238]","[34, 28, 61.0, 0.6620594496238085]","[34, 29, 61.0, 0.6702002501548013]","[36, 1, 47.0, 0.8797478351970214]","[36, 2, 49.0, 0.8387456195641855]"
"[36, 3, 50.0, 0.8101752973801091]","[36, 4, 51.0, 0.7861136851017513]","[36, 5, 51.0, 0.7572198208376758]","[36, 6, 52.0, 0.7460907653808713]","[36, 7, 53.0, 0.7327586633080418]"
"[36, 8, 54.0, 0.7164275264918605]","[36, 9, 54.0, 0.6964297146270739]","[36, 10, 55.0, 0.6701110401841445]","[36, 11, 56.0, 0.6458281457758984]","[36, 12, 57.0, 0.6197609827812826]"
"[36, 13, 58.0, 0.6016137627175695]","[36, 14, 59.0, 0.586361318125721]","[36, 15, 60.0, 0.5713474317791595]","[36, 16, 60.0, 0.5696115086286442]","[36, 17, 60.0, 0.5646878097758861]"
"[36, 18, 60.0, 0.5676540382237052]","[36, 19, 60.0, 0.5714049871480967]","[36, 20, 61.0, 0.5807284984376542]","[36, 21, 60.0, 0.5932764256513678]","[36, 22, 61.0, 0.6025130948354602]"
"[36, 23, 61.0, 0.605506762632567]","[36, 24, 61.0, 0.6278942185889103]","[36, 25, 61.0, 0.6279162698763232]","[36, 26, 61.0, 0.6395882379934157]","[36, 27, 61.0, 0.6327458463553213]"
"[36, 28, 62.0, 0.6412521428097635]","[36, 29, 61.0, 0.6535706031137414]","[38, 1, 47.0, 0.8743160494258676]","[38, 2, 49.0, 0.8376360801484531]","[38, 3, 50.0, 0.8038902966140526]"
"[38, 4, 51.0, 0.7758811205822973]","[38, 5, 52.0, 0.754858071880948]","[38, 6, 53.0, 0.7513729619452097]","[38, 7, 53.0, 0.7358338349341912]","[38, 8, 54.0, 0.7177797385887301]"
