k005930,"5,253,409 억원"
k000660,"928,203 억원"
k051910,"691,099 억원"
k005935,"638,560 억원"
k207940,"531,967 억원"
k005380,"512,804 억원"
k006400,"506,795 억원"
k035420,"502,646 억원"
k068270,"444,143 억원"
k035720,"387,196 억원"
k012330,"305,601 억원"
k000270,"288,213 억원"
k028260,"286,872 억원"
k051900,"246,768 억원"
k096770,"242,722 억원"
k005490,"239,764 억원"
k066570,"229,107 억원"
k091990,"217,695 억원"
k034730,"212,840 억원"
k036570,"205,270 억원"
k017670,"203,075 억원"
k105560,"187,945 억원"
k003550,"182,911 억원"
k055550,"172,262 억원"
k032830,"165,200 억원"
k015760,"162,417 억원"
k018260,"157,464 억원"
k009150,"150,508 억원"
k090430,"128,901 억원"
k326030,"119,819 억원"
k086790,"114,542 억원"
k033780,"112,168 억원"
k251270,"106,448 억원"
k011170,"103,169 억원"
k018880,"91,814 억원"
k009830,"88,565 억원"
k000810,"88,117 억원"
k010950,"84,775 억원"
k009540,"80,681 억원"
k003670,"78,675 억원"
k010130,"77,839 억원"
k034220,"75,320 억원"
k316140,"71,649 억원"
k086280,"70,125 억원"
k068760,"67,109 억원"
k097950,"65,787 억원"
k006800,"65,177 억원"
k024110,"64,042 억원"
k030200,"62,928 억원"
k019170,"61,728 억원"
k004020,"57,782 억원"
k003490,"56,008 억원"
k352820,"55,929 억원"
k021240,"54,464 억원"
k035250,"53,913 억원"
k032640,"53,267 억원"
k008930,"51,819 억원"
k002790,"51,536 억원"
k000100,"51,012 억원"
k011780,"50,881 억원"
k034020,"50,763 억원"
k161390,"49,612 억원"
k139480,"48,643 억원"
k028300,"48,577 억원"
k006280,"48,558 억원"
k011200,"48,355 억원"
k071050,"48,147 억원"
k271560,"48,036 억원"
k000720,"47,660 억원"
k096530,"47,195 억원"
k180640,"43,998 억원"
k011070,"43,784 억원"
k010140,"43,722 억원"
k267250,"43,209 억원"
k128940,"42,694 억원"
k196170,"42,321 억원"
k285130,"41,036 억원"
k247540,"40,682 억원"
k011790,"39,383 억원"
k088980,"38,894 억원"
k005387,"38,857 억원"
k000120,"38,553 억원"
k004990,"38,187 억원"
k029780,"37,886 억원"
k051915,"37,675 억원"
k016360,"37,104 억원"
k078930,"36,934 억원"
k039490,"35,322 억원"
k012510,"34,937 억원"
k263750,"34,845 억원"
k035760,"34,780 억원"
k336260,"34,646 억원"
k003090,"34,304 억원"
k036490,"34,290 억원"
k293490,"34,205 억원"
k001040,"33,991 억원"
k023530,"33,805 억원"
k006360,"33,675 억원"
k204320,"33,668 억원"
k012750,"33,325 억원"
k008770,"33,322 억원"
k005940,"33,066 억원"
k003410,"32,902 억원"
k241560,"32,531 억원"
k026960,"32,004 억원"
k032500,"31,458 억원"
k036460,"31,202 억원"
k005830,"30,550 억원"
k253450,"29,914 억원"
k042660,"29,773 억원"
k005385,"28,497 억원"
k081660,"27,916 억원"
k112610,"27,830 억원"
k007070,"27,489 억원"
k145020,"27,482 억원"
k020150,"27,205 억원"
k047810,"27,049 억원"
k028050,"26,852 억원"
k088350,"26,664 억원"
k000990,"26,595 억원"
k307950,"26,250 억원"
k095700,"25,587 억원"
k028670,"25,419 억원"
k000080,"25,073 억원"
k282330,"25,062 억원"
k008560,"24,909 억원"
k047040,"24,646 억원"
k010060,"24,446 억원"
k004170,"24,367 억원"
k009240,"24,240 억원"
k030000,"23,468 억원"
k000880,"23,387 억원"
k066970,"23,233 억원"
k058470,"23,153 억원"
k006260,"23,152 억원"
k185750,"22,914 억원"
k240810,"22,701 억원"
k064350,"22,210 억원"
k005250,"22,197 억원"
k014680,"22,082 억원"
k357780,"21,928 억원"
k078340,"21,744 억원"
k007310,"21,040 억원"
k272210,"20,503 억원"
k011210,"20,478 억원"
k069620,"20,161 억원"
k010620,"20,011 억원"
k001450,"19,981 억원"
k010120,"19,740 억원"
k235980,"19,672 억원"
k278280,"19,280 억원"
k138930,"19,165 억원"
k047050,"18,815 억원"
k069960,"18,488 억원"
k006650,"18,265 억원"
k294870,"18,223 억원"
k012450,"18,201 억원"
k009900,"18,187 억원"
k009420,"18,128 억원"
k005290,"18,098 억원"
k004370,"18,096 억원"
k002380,"17,995 억원"
k000060,"17,973 억원"
k042670,"17,834 억원"
k017800,"17,571 억원"
k003000,"16,890 억원"
k098460,"16,477 억원"
k237690,"16,287 억원"
k004800,"16,225 억원"
k010780,"16,188 억원"
k336370,"15,784 억원"
k064760,"15,761 억원"
k007700,"15,554 억원"
k200130,"15,510 억원"
k268600,"15,290 억원"
k000250,"15,255 억원"
k323990,"15,234 억원"
k034230,"15,233 억원"
k013890,"15,127 억원"
k039200,"14,915 억원"
k060250,"14,885 억원"
k051905,"14,782 억원"
k181710,"14,752 억원"
k111770,"14,734 억원"
k004000,"14,319 억원"
k039030,"14,254 억원"
k086520,"14,138 억원"
k056190,"14,022 억원"
k140410,"13,864 억원"
k000240,"13,767 억원"
k030190,"13,630 억원"
k141080,"13,571 억원"
k003520,"13,461 억원"
k020560,"13,394 억원"
k069080,"13,383 억원"
k138040,"13,227 억원"
k086450,"13,071 억원"
k035900,"12,868 억원"
k084850,"12,825 억원"
k051600,"12,713 억원"
k022100,"12,588 억원"
k214320,"12,540 억원"
k001740,"12,509 억원"
k031430,"12,459 억원"
k139130,"12,415 억원"
k298380,"12,278 억원"
k004490,"12,250 억원"
k161890,"12,241 억원"
k046890,"12,186 억원"
k178920,"12,040 억원"
k144510,"11,947 억원"
k016380,"11,851 억원"
k067630,"11,721 억원"
k006120,"11,651 억원"
k025900,"11,553 억원"
k175330,"11,464 억원"
k120110,"11,453 억원"
k192080,"11,429 억원"
k001440,"11,391 억원"
k007570,"11,280 억원"
k218410,"11,208 억원"
k093370,"11,159 억원"
k073240,"11,117 억원"
k005300,"11,084 억원"
k032350,"11,049 억원"
k088800,"10,977 억원"
k066575,"10,896 억원"
k298020,"10,819 억원"
k023590,"10,768 억원"
k003850,"10,738 억원"
k363280,"10,669 억원"
k108320,"10,539 억원"
k001120,"10,330 억원"
k084990,"10,263 억원"
k000670,"10,021 억원"
k114090,"10,021 억원"
k192820,"10,019 억원"
k082270,"10,018 억원"
k033640,"9,996 억원"
k079160,"9,986 억원"
k069260,"9,933 억원"
k214150,"9,933 억원"
k085660,"9,932 억원"
k000150,"9,749 억원"
k042700,"9,708 억원"
k001680,"9,701 억원"
k018670,"9,692 억원"
k057050,"9,612 억원"
k048530,"9,498 억원"
k005690,"9,474 억원"
k036830,"9,413 억원"
k003240,"9,375 억원"
k036540,"9,341 억원"
k086900,"9,337 억원"
k097520,"9,289 억원"
k006040,"9,286 억원"
k003690,"9,244 억원"
k028150,"9,220 억원"
k230360,"9,138 억원"
k014820,"9,120 억원"
k039130,"9,047 억원"
k330590,"8,994 억원"
k053800,"8,872 억원"
k314130,"8,848 억원"
k048410,"8,835 억원"
k178320,"8,824 억원"
k053030,"8,795 억원"
k001880,"8,777 억원"
k071840,"8,770 억원"
k005850,"8,749 억원"
k005440,"8,735 억원"
k284740,"8,694 억원"
k033270,"8,691 억원"
k210980,"8,565 억원"
k001230,"8,446 억원"
k101490,"8,398 억원"
k122870,"8,379 억원"
k011000,"8,372 억원"
k348950,"8,363 억원"
k103140,"8,351 억원"
k222080,"8,279 억원"
k206650,"8,246 억원"
k001800,"8,238 억원"
k241590,"8,233 억원"
k064960,"8,233 억원"
k294090,"8,228 억원"
k183490,"8,181 억원"
k084370,"8,181 억원"
k003380,"8,145 억원"
k213420,"8,139 억원"
k131970,"8,118 억원"
k005880,"8,098 억원"
k089590,"8,027 억원"
k041960,"8,023 억원"
k214370,"8,014 억원"
k000640,"8,002 억원"
k271980,"7,941 억원"
k115450,"7,923 억원"
k020000,"7,919 억원"
k001820,"7,900 억원"
k263050,"7,845 억원"
k272450,"7,763 억원"
k089980,"7,689 억원"
k058820,"7,681 억원"
k067160,"7,667 억원"
k090460,"7,582 억원"
k006405,"7,564 억원"
k348150,"7,550 억원"
k365550,"7,550 억원"
k300720,"7,550 억원"
k003230,"7,533 억원"
k092190,"7,530 억원"
k192650,"7,475 억원"
k090435,"7,464 억원"
k078600,"7,449 억원"
k298050,"7,414 억원"
k048260,"7,414 억원"
k222800,"7,374 억원"
k100090,"7,282 억원"
k049770,"7,274 억원"
k170900,"7,270 억원"
k280360,"7,251 억원"
k079550,"7,227 억원"
k083790,"7,201 억원"
k353200,"7,190 억원"
k081000,"7,187 억원"
k950130,"7,082 억원"
k085620,"7,063 억원"
k009450,"7,034 억원"
k034310,"7,027 억원"
k131290,"7,024 억원"
k002320,"7,018 억원"
k041510,"7,012 억원"
k267270,"6,994 억원"
k001060,"6,987 억원"
k042000,"6,969 억원"
k000070,"6,946 억원"
k156100,"6,886 억원"
k108670,"6,878 억원"
k025980,"6,874 억원"
k290650,"6,869 억원"
k017810,"6,862 억원"
k011930,"6,849 억원"
k192400,"6,785 억원"
k003470,"6,746 억원"
k082640,"6,713 억원"
k204270,"6,681 억원"
k003540,"6,677 억원"
k018250,"6,616 억원"
k012630,"6,601 억원"
k033660,"6,560 억원"
k036810,"6,536 억원"
k092040,"6,533 억원"
k052690,"6,517 억원"
k025540,"6,509 억원"
k145990,"6,497 억원"
k293780,"6,469 억원"
k182400,"6,446 억원"
k267260,"6,434 억원"
k005610,"6,429 억원"
k003530,"6,426 억원"
k217270,"6,425 억원"
k00680K,"6,384 억원"
k036420,"6,374 억원"
k061970,"6,371 억원"
k002840,"6,362 억원"
k112040,"6,350 억원"
k102710,"6,288 억원"
k286940,"6,274 억원"
k105630,"6,240 억원"
k281820,"6,175 억원"
k031390,"6,171 억원"
k008490,"6,132 억원"
k290510,"6,127 억원"
k008730,"6,126 억원"
k166090,"6,124 억원"
k115390,"6,122 억원"
k091700,"6,093 억원"
k140860,"6,075 억원"
k002350,"6,075 억원"
k078130,"6,071 억원"
k298040,"6,070 억원"
k137400,"6,020 억원"
k078160,"5,935 억원"
k226320,"5,932 억원"
k050890,"5,923 억원"
k005070,"5,923 억원"
k001630,"5,912 억원"
k267980,"5,898 억원"
k000400,"5,896 억원"
k226950,"5,884 억원"
k032300,"5,879 억원"
k015350,"5,863 억원"
k243070,"5,859 억원"
k086390,"5,854 억원"
k138080,"5,854 억원"
k018000,"5,838 억원"
