K000020,동화약품
K000040,KR모터스
K000050,경방
K000060,메리츠화재
K000070,삼양홀딩스
K000080,하이트진로
K000100,유한양행
K000120,CJ대한통운
K000140,하이트진로홀딩스
K000150,두산
K000180,성창기업지주
K000220,유유제약
K000230,일동홀딩스
K000240,한국테크놀로지그룹
K000250,삼천당제약
K000270,기아차
K000300,대유플러스
K000320,노루홀딩스
K000370,한화손해보험
K000390,삼화페인트
K000400,롯데손해보험
K000430,대원강업
K000440,중앙에너비스
K000480,조선내화
K000490,대동공업
K000500,가온전선
K000520,삼일제약
K000540,흥국화재
K000590,CS홀딩스
K000640,동아쏘시오홀딩스
K000650,천일고속
K000660,SK하이닉스
K000670,영풍
K000680,LS네트웍스
K000700,유수홀딩스
K000720,현대건설
K000760,이화산업
K000810,삼성화재
K000850,화천기공
K000860,강남제비스코
K000880,한화
K000890,보해양조
K000910,유니온
K000950,전방
K000970,한국주철관
K000990,DB하이텍
K001000,신라섬유
K001020,페이퍼코리아
K001040,CJ
K001060,JW중외제약
K001070,대한방직
K001080,만호제강
K001120,LG상사
K001130,대한제분
K001140,국보
K001200,유진투자증권
K001210,금호전기
K001230,동국제강
K001250,GS글로벌
K001260,남광토건
K001270,부국증권
K001290,상상인증권
K001340,백광산업
K001360,삼성제약
K001380,SG충방
K001390,KG케미칼
K001420,태원물산
K001430,세아베스틸
K001440,대한전선
K001450,현대해상
K001460,BYC
K001470,삼부토건
K001500,현대차증권
K001510,SK증권
K001520,동양
K001530,DI동일
K001540,안국약품
K001550,조비
K001560,제일연마
K001570,금양
K001620,케이비아이동국실업
K001630,종근당홀딩스
K001680,대상
K001720,신영증권
K001740,SK네트웍스
K001750,한양증권
K001770,신화실업
K001780,알루코
K001790,대한제당
K001800,오리온홀딩스
K001810,무림SP
K001820,삼화콘덴서
K001840,이화공영
K001880,대림건설
K001940,KISCO홀딩스
K002020,코오롱
K002030,아세아
K002070,비비안
K002100,경농
K002140,고려산업
K002150,도화엔지니어링
K002170,삼양통상
K002200,한국수출포장
K002210,동성제약
K002220,한일철강
K002230,피에스텍
K002240,고려제강
K002270,롯데푸드
K002290,삼일기업공사
K002310,아세아제지
K002320,한진
K002350,넥센타이어
K002360,SH에너지화학
K002380,KCC
K002390,한독
K002410,범양건영
K002450,삼익악기
K002460,화성산업
K002600,조흥
K002620,제일파마홀딩스
K002630,오리엔트바이오
K002680,한탑
K002690,동일제강
K002700,신일전자
K002710,TCC스틸
K002720,국제약품
K002760,보락
K002780,진흥기업
K002790,아모레G
K002800,신신제약
K002810,삼영무역
K002820,선창산업
K002840,미원상사
K002870,신풍제지
K002880,대유에이텍
K002900,동양물산
K002920,유성기업
K002960,한국쉘석유
K002990,금호산업
K003000,부광약품
K003010,혜인
K003030,세아제강지주
K003060,에이프로젠제약
K003070,코오롱글로벌
K003080,성보화학
K003090,대웅
K003100,선광
K003120,일성신약
K003160,디아이
K003200,일신방직
K003220,대원제약
K003230,삼양식품
K003240,태광산업
K003300,한일홀딩스
K003310,대주산업
K003350,한국화장품제조
K003380,하림지주
K003410,쌍용양회
K003460,유화증권
K003470,유안타증권
K003480,한진중공업홀딩스
K003490,대한항공
K003520,영진약품
K003530,한화투자증권
K003540,대신증권
K003550,LG
K003560,IHQ
K003570,S&T중공업
K003580,넥스트사이언스
K003610,방림
K003650,미창석유
K003670,포스코케미칼
K003680,한성기업
K003690,코리안리
K003720,삼영화학
K003780,진양산업
K003800,에이스침대
K003830,대한화섬
K003850,보령제약
K003920,남양유업
K003960,사조대림
K004000,롯데정밀화학
K004020,현대제철
K004060,SG세계물산
K004080,신흥
K004090,한국석유
K004100,태양금속
K004140,동방
K004150,한솔홀딩스
K004170,신세계
K004250,NPC
K004270,남성
K004310,현대약품
K004360,세방
K004370,농심
K004380,삼익THK
K004410,서울식품
K004430,송원산업
K004440,삼일씨엔에스
K004450,삼화왕관
K004490,세방전지
K004540,깨끗한나라
K004560,현대비앤지스틸
K004590,한국가구
K004650,창해에탄올
K004690,삼천리
K004700,조광피혁
K004710,한솔테크닉스
K004720,우리들제약
K004770,써니전자
K004780,대륙제관
K004800,효성
K004830,덕성
K004840,DRB동일
K004870,티웨이홀딩스
K004890,동일산업
K004910,조광페인트
K004920,씨아이테크
K004960,한신공영
K004970,신라교역
K004980,성신양회
K004990,롯데지주
K005010,휴스틸
K005030,부산주공
K005070,코스모신소재
K005090,SGC에너지
K005110,한창
K005160,동국산업
K005180,빙그레
K005190,동성화학
K005250,녹십자홀딩스
K005290,동진쎄미켐
K005300,롯데칠성
K005320,국동
K005360,모나미
K005380,현대차
K005390,신성통상
K005420,코스모화학
K005430,한국공항
K005440,현대그린푸드
K005490,POSCO
K005500,삼진제약
K005610,SPC삼립
K005670,푸드웰
K005680,삼영전자
K005690,파미셀
K005710,대원산업
K005720,넥센
K005740,크라운해태홀딩스
K005750,대림B&Co
K005800,신영와코루
K005810,풍산홀딩스
K005820,원림
K005830,DB손해보험
K005850,에스엘
K005860,한일사료
K005870,휴니드
K005880,대한해운
K005930,삼성전자
K005940,NH투자증권
K005950,이수화학
K005960,동부건설
K005990,매일홀딩스
K006040,동원산업
K006050,국영지앤엠
K006060,화승인더
K006090,사조오양
K006110,삼아알미늄
K006120,SK디스커버리
K006140,피제이전자
K006200,한국전자홀딩스
K006220,제주은행
K006260,LS
K006280,녹십자
K006340,대원전선
K006360,GS건설
K006370,대구백화점
K006380,카프로
K006390,한일현대시멘트
K006400,삼성SDI
K006490,인스코비
K006570,대림통상
K006580,대양제지
K006620,동구바이오제약
K006650,대한유화
K006660,삼성공조
K006730,서부T&D
K006740,영풍제지
K006800,미래에셋대우
K006840,AK홀딩스
K006880,신송홀딩스
K006890,태경케미컬
K006910,보성파워텍
K006920,모헨즈
K006980,우성사료
K007070,GS리테일
K007110,일신석재
K007120,미래아이앤지
K007160,사조산업
K007210,벽산
K007280,한국특수형강
K007310,오뚜기
K007330,푸른저축은행
K007340,디티알오토모티브
K007370,진양제약
K007390,네이처셀
K007460,에이프로젠 KIC
K007530,영신금속
K007540,샘표
K007570,일양약품
K007590,동방아그로
K007610,선도전기
K007660,이수페타시스
K007680,대원
K007690,국도화학
K007700,F&F
K007720,대명소노시즌
K007770,한일화학
K007810,코리아써키트
K007820,에스엠코어
K007860,서연
K007980,태평양물산
K008040,사조동아원
K008060,대덕
K008110,대동전자
K008250,이건산업
K008260,NI스틸
K008290,원풍물산
K008350,남선알미늄
K008370,원풍
K008420,문배철강
K008470,부스타
K008490,서흥
K008500,일정실업
K008560,메리츠증권
K008600,윌비스
K008700,아남전자
K008730,율촌화학
K008770,호텔신라
K008830,대동기어
K008870,금비
K008930,한미사이언스
K008970,동양철관
K009070,KCTC
K009140,경인전자
K009150,삼성전기
K009160,SIMPAC
K009180,한솔로지스틱스
K009190,대양금속
K009200,무림페이퍼
K009240,한샘
K009270,신원
K009290,광동제약
K009300,삼아제약
K009310,참엔지니어링
K009320,대우부품
K009410,태영건설
K009420,한올바이오파마
K009440,KC그린홀딩스
K009450,경동나비엔
K009460,한창제지
K009470,삼화전기
K009520,포스코엠텍
K009540,한국조선해양
K009580,무림P&P
K009620,삼보산업
K009680,모토닉
K009770,삼정펄프
K009780,엠에스씨
K009810,엔케이물산
K009830,한화솔루션
K009900,명신산업
K009970,영원무역홀딩스
K010040,한국내화
K010050,우리종금
K010060,OCI
K010100,한국프랜지
K010120,LS ELECTRIC
K010130,고려아연
K010140,삼성중공업
K010170,대한광통신
K010240,흥국
K010280,쌍용정보통신
K010400,우진아이엔에스
K010420,한솔PNS
K010470,오리콤
K010600,웰바이오텍
K010620,현대미포조선
K010640,진양폴리
K010660,화천기계
K010690,화신
K010770,평화홀딩스
K010780,아이에스동서
K010820,퍼스텍
K010950,S-Oil
K010960,삼호개발
K011000,진원생명과학
K011040,경동제약
K011070,LG이노텍
K011080,형지I&C
K011090,에넥스
K011150,CJ씨푸드
K011170,롯데케미칼
K011200,HMM
K011210,현대위아
K011230,삼화전자
K011280,태림포장
K011300,성안
K011320,유니크
K011330,유니켐
K011370,서한
K011390,부산산업
K011420,갤럭시아에스엠
K011500,한농화성
K011560,세보엠이씨
K011700,한신기계
K011760,현대상사
K011780,금호석유
K011790,SKC
K011810,STX
K011930,신성이엔지
K012030,DB
K012160,영흥
K012200,계양전기
K012280,영화금속
K012320,경동인베스트
K012330,현대모비스
K012340,뉴인텍
K012450,한화에어로스페이스
K012510,더존비즈온
K012600,센트럴인사이트
K012610,경인양행
K012620,원일특강
K012630,HDC
K012690,모나리자
K012700,리드코프
K012750,에스원
K012790,신일제약
K012800,대창
K012860,모베이스전자
K013000,세우글로벌
K013030,하이록코리아
K013120,동원개발
K013310,아진산업
K013360,일성건설
K013520,화승알앤에이
K013570,디와이
K013580,계룡건설
K013700,까뮤이앤씨
K013720,청보산업
K013810,스페코
K013870,지엠비코리아
K013890,지누스
K013990,아가방컴퍼니
K014130,한익스프레스
K014160,대영포장
K014190,원익큐브
K014200,광림
K014280,금강공업
K014440,영보화학
K014470,부방
K014530,극동유화
K014570,고려제약
K014580,태경비케이
K014620,성광벤드
K014680,한솔케미칼
K014710,사조씨푸드
K014790,한라
K014820,동원시스템즈
K014830,유니드
K014910,성문전자
